action_count,bot_fingerprint_score,click_intervals_count,click_timestamps_count,click_timestamps_max,click_timestamps_mean,click_timestamps_min,cursorAngleVariance,cursor_acceleration_count,cursor_acceleration_max,cursor_acceleration_mean,cursor_acceleration_std,cursor_curvature_count,cursor_curvature_max,cursor_curvature_mean,cursor_curvature_min,cursor_curvature_std,cursor_movement_entropy,cursor_movements_count,cursor_movements_mean_distance,cursor_movements_total_distance,cursor_speeds_count,cursor_speeds_max,cursor_speeds_mean,cursor_speeds_min,cursor_speeds_std,hesitation_count,hesitation_mean,hesitation_min,idle_time,is_automated_browser,key_hold_times_count,key_press_times_count,keyboard_patterns_count,keyboard_patterns_max,keyboard_patterns_mean,keyboard_patterns_min,label,micropause_count,micropause_min,mouseJitter_count,mouse_angle_entropy,mouse_movement_debug_currentSpeed,mouse_movement_debug_distance,mouse_movement_debug_dx,mouse_movement_debug_dy,mouse_num_pauses,paste_detected,scroll_changes,scroll_speed_mean,scroll_speed_std,scroll_speeds_count,scroll_speeds_mean,scroll_speeds_std,speed_calculation_debug_filteredSpeed,speed_calculation_debug_latestSpeed,speed_calculation_debug_rawSpeed,typing_interval_entropy
245,0.5,0,1,1750186654852.0,1750186654852.0,1750186654852.0,,34,16.91236082758174,4.613374114411016,4.917999435686244,5,2.4845728584803393,1.494222209181969,0.4221595464588299,0.6944838459840377,1.9195347141363286,27,15.120372185995429,393.1296768358811,34,898.3676568582085,282.9016023928587,11.460364228050594,282.8388069743296,0,0.0,0.0,0,False,11,10,11,1750186660265.0,1750186657848.3635,1750186655802.0,1,0,0.0,0,1.0908355715015174,31.21489363090711,6.4031242374328485,4,5,3.0,False,0,,,0,0.0,0.0,31.21489363090711,31.21489363090711,31.21489363090711,1.6817979104534195
119,0.5,0,1,1750186687809.0,1750186687809.0,1750186687809.0,,17,12.09757202783413,3.493773982979555,3.553902526530804,2,0.6867503180265817,0.546627717867191,0.40650511770780023,0.14012260015939074,2.1498020496118033,13,19.66293498319249,235.95521979830988,17,623.1362577165204,239.26960288091632,35.074618555666085,190.55496279106686,0,0.0,0.0,0,False,1,0,0,0.0,0.0,0.0,1,0,0.0,0,1.0335759348877684,79.95273866363539,9.0,9,0,1.0,True,0,,,0,0.0,0.0,79.95273866363539,79.95273866363539,79.95273866363539,
77,0.5,0,1,1750186720850.0,1750186720850.0,1750186720850.0,,12,17.772907662348516,6.992367473509595,5.811087771405619,2,0.691840426198625,0.5595629850983752,0.42728554399812557,0.1322774411002497,2.174308236115124,12,21.816529540910874,239.98182495001961,12,936.4123727895594,405.0344137513569,10.862076442132144,302.83452212729446,0,0.0,0.0,0,False,1,0,0,0.0,0.0,0.0,1,0,0.0,0,1.47081530142262,363.9691898330813,19.235384061671343,17,-9,1.0,True,0,,,0,0.0,0.0,363.9691898330813,363.9691898330813,363.9691898330813,
88,0.5,0,1,1750186724522.0,1750186724522.0,1750186724522.0,,10,16.285364149581728,6.288450983226268,6.168337355998213,2,2.0233540755487973,1.6540141590929665,1.2846742426371354,0.369339916455831,2.1872709920631013,10,28.009805141332482,252.08824627199235,10,911.9122344648079,369.85914332355054,10.95294703442497,323.97245421264046,0,0.0,0.0,0,False,8,7,8,1750186730383.0,1750186729073.625,1750186727799.0,1,0,0.0,0,1.0735744701758492,18.817841022805897,22.0,-22,0,1.0,False,0,,,0,0.0,0.0,18.817841022805897,18.817841022805897,18.817841022805897,0.8794845700831525
189,0.5,1,2,1750186745376.0,1750186741807.5,1750186738239.0,,27,25.66949908709328,7.8036383752672025,7.8288773753033185,4,2.338115127015801,1.038576080256355,0.30724914704869954,0.7751582738455671,2.0118506103122447,24,27.35988249063946,629.2772972847076,27,1350.4076426845502,460.1538682929177,12.89248606505367,416.3359609842032,0,0.0,0.0,0,False,8,7,8,1750186741540.0,1750186740195.5,1750186738893.0,1,0,0.0,0,1.7074077888048693,69.72736808682251,13.038404810405298,1,13,4.0,False,0,,,0,0.0,0.0,69.72736808682251,69.72736808682251,69.72736808682251,1.2496463262618276
72,0.5,0,1,1750186760728.0,1750186760728.0,1750186760728.0,,12,17.908637533890612,4.38596365872361,5.739086674658313,2,0.8603112018878355,0.478007554909617,0.09570390793139855,0.38230364697821845,2.1513220799212713,11,22.35170214902111,223.5170214902111,12,910.9774140324047,323.91352443668205,15.8413077418307,262.3931391860439,0,0.0,0.0,0,False,1,0,0,0.0,0.0,0.0,1,0,0.0,0,1.0027298671410576,15.8413077418307,14.317821063276353,14,-3,1.0,True,0,,,0,0.0,0.0,15.8413077418307,15.8413077418307,15.8413077418307,
90,0.5,0,1,1750186779929.0,1750186779929.0,1750186779929.0,,13,13.123199778137595,3.910217121134132,4.289775647406709,1,0.34298800027628995,0.34298800027628995,0.34298800027628995,0.0,2.1390858946957136,9,29.84092988169962,238.72743905359695,13,721.8759877975677,288.2966638954528,10.526041356429653,243.2295581781064,0,0.0,0.0,0,False,0,0,0,0.0,0.0,0.0,1,0,0.0,0,0.7963555721550977,100.55457837796575,23.53720459187964,23,-5,1.0,True,0,,,0,0.0,0.0,100.55457837796575,100.55457837796575,100.55457837796575,
157,0.5,0,1,1749715578724.0,1749715578724.0,1749715578724.0,,18,17.429391068652034,4.944962283523064,3.913944729089462,3,0.47096711122119694,0.3614961477422652,0.238182084536311,0.09553687148499257,2.113325397347292,16,15.752082287776638,236.28123431664957,18,893.8321122016898,297.028524344716,17.082553393841714,198.6305847884139,0,0.0,0.0,0,False,10,9,10,1749715581856.0,1749715580556.7,1749715579614.0,1,0,0.0,0,1.7721422903328818,17.082553393841714,7.810249675906654,6,-5,1.0,False,0,,,0,0.0,0.0,17.082553393841714,17.082553393841714,17.082553393841714,1.7337164382988326
8,0.0,0,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,True,8,7,8,1749715671625.0,1749715671026.125,1749715670427.0,0,0,0.0,0,,0.0,0.0,0,0,,False,0,,,0,0.0,0.0,0.0,0.0,0.0,1.2424957308290727
126,0.5,0,1,1749715688199.0,1749715688199.0,1749715688199.0,,18,17.20739313880668,4.116998745966668,3.551164397322172,3,2.1404707933008082,1.4001386569615526,0.3417826783048958,0.7679731362353025,2.0842010667269943,15,14.266110776880762,199.72555087633066,18,882.1492251791977,241.68064349670865,76.3768139422991,173.0815812259027,0,0.0,0.0,0,False,9,8,9,1749715693269.0,1749715691932.7778,1749715690788.0,1,0,0.0,0,1.377833564333827,179.7392001603282,11.180339887498949,2,-11,1.0,False,0,,,0,0.0,0.0,179.7392001603282,179.7392001603282,179.7392001603282,1.28513442813858
